Date,Product ID,Product Name,Units Sold,Total Revenue (USD)
1/1/2024,1027,Canon PIXMA TR4520,8,$799.92 
1/1/2024,1016,Apple Watch Series 6,3,"$1,197.00 "
1/2/2024,1030,JBL Flip 5,12,"$1,439.40 "
1/2/2024,1008,LG C1 OLED,2,"$3,598.00 "
1/2/2024,1039,Asus RT-AX88U,10,"$2,490.00 "
1/2/2024,1025,HP OfficeJet Pro 9015,5,"$1,149.95 "
1/2/2024,1012,Apple AirPods Pro,8,"$1,992.00 "
1/3/2024,1023,Dell Inspiron,3,"$2,699.97 "
1/3/2024,1020,Canon EOS R5,2,"$6,998.00 "
1/3/2024,1010,Sony WH-1000XM4,5,"$1,749.95 "
1/3/2024,1031,Bose Lifestyle 650,3,"$11,997.00 "
1/3/2024,1025,HP OfficeJet Pro 9015,8,"$1,839.92 "
1/3/2024,1033,Sony HT-Z9F,4,"$3,596.00 "
1/3/2024,1001,Apple iPhone 12,6,"$5,394.00 "
1/3/2024,1037,Google Nest Wifi,10,"$1,690.00 "
1/3/2024,1029,Bose SoundLink Revolve,7,"$1,253.00 "
1/3/2024,1023,Dell Inspiron,2,"$1,799.98 "
1/4/2024,1034,Sony PlayStation 5,3,"$1,499.97 "
1/4/2024,1034,Sony PlayStation 5,3,"$1,499.97 "
1/4/2024,1025,HP OfficeJet Pro 9015,5,"$1,149.95 "
1/4/2024,1036,Nintendo Switch,2,$599.98 
1/4/2024,1012,Apple AirPods Pro,4,$996.00 
1/5/2024,1023,Dell Inspiron,3,"$2,699.97 "
1/5/2024,1001,Apple iPhone 12,3,"$2,697.00 "
1/5/2024,1020,Canon EOS R5,2,"$6,998.00 "
1/5/2024,1036,Nintendo Switch,5,"$1,499.95 "
1/5/2024,1012,Apple AirPods Pro,4,$996.00 
1/6/2024,1023,Dell Inspiron,3,"$2,699.97 "
1/6/2024,1034,Sony PlayStation 5,3,"$1,499.97 "
1/6/2024,1025,HP OfficeJet Pro 9015,5,"$1,149.95 "
1/7/2024,1036,Nintendo Switch,2,$599.98 
1/7/2024,1003,Google Pixel 5,2,"$1,398.00 "
1/7/2024,1014,Samsung Galaxy Tab S7,3,"$1,949.97 "
1/8/2024,1038,Netgear Nighthawk AX12,1,$299.99 
1/8/2024,1021,Nikon Z6,2,"$3,599.98 "
1/8/2024,1017,Samsung Galaxy Watch 3,4,"$1,399.96 "
1/9/2024,1039,Asus RT-AX88U,3,$747.00 
1/9/2024,1005,HP Spectre x360,2,"$2,399.98 "
1/9/2024,1019,Sony Alpha a7 III,3,"$5,997.00 "
1/9/2024,1020,Canon EOS R5,1,"$3,499.00 "
1/9/2024,1015,Microsoft Surface Pro 7,4,"$3,596.00 "
1/9/2024,1007,Samsung QLED Q90T,2,"$3,999.98 "
1/9/2024,1018,Fitbit Versa 3,3,$689.85 
1/10/2024,1013,Apple iPad Pro,2,"$1,598.00 "
1/10/2024,1001,Apple iPhone 12,3,"$2,697.00 "
1/10/2024,1002,Samsung Galaxy S21,2,"$1,599.98 "
1/10/2024,1003,Google Pixel 5,4,"$2,796.00 "
1/10/2024,1004,Dell XPS 13,1,"$1,299.00 "
1/10/2024,1006,MacBook Pro,2,"$2,998.00 "
1/10/2024,1008,LG C1 OLED,3,"$5,397.00 "
1/11/2024,1010,Sony WH-1000XM4,1,$349.99 
1/11/2024,1001,Apple iPhone 12,3,"$2,697.00 "
1/11/2024,1002,Samsung Galaxy S21,2,"$1,599.98 "
1/11/2024,1004,Dell XPS 13,1,"$1,299.00 "
1/11/2024,1005,HP Spectre x360,2,"$2,399.98 "
1/11/2024,1006,MacBook Pro,2,"$2,998.00 "
1/12/2024,1007,Samsung QLED Q90T,3,"$5,999.97 "
1/12/2024,1001,Apple iPhone 12,2,"$1,798.00 "
1/12/2024,1002,Samsung Galaxy S21,3,"$2,399.97 "
1/12/2024,1004,Dell XPS 13,1,"$1,299.00 "
1/12/2024,1005,HP Spectre x360,2,"$2,399.98 "
1/12/2024,1006,MacBook Pro,2,"$2,998.00 "
1/12/2024,1008,LG C1 OLED,2,"$3,598.00 "
1/13/2024,1039,Asus RT-AX88U,10,"$2,490.00 "
1/13/2024,1025,HP OfficeJet Pro 9015,5,"$1,149.95 "
1/14/2024,1012,Apple AirPods Pro,8,"$1,992.00 "
1/14/2024,1023,Dell Inspiron,3,"$2,699.97 "
1/14/2024,1020,Canon EOS R5,2,"$6,998.00 "
1/14/2024,1010,Sony WH-1000XM4,5,"$1,749.95 "
1/14/2024,1031,Bose Lifestyle 650,3,"$11,997.00 "
1/14/2024,1025,HP OfficeJet Pro 9015,8,"$1,839.92 "
1/14/2024,1033,Sony HT-Z9F,4,"$3,596.00 "
1/14/2024,1001,Apple iPhone 12,6,"$5,394.00 "
1/14/2024,1037,Google Nest Wifi,10,"$1,690.00 "
1/15/2024,1029,Bose SoundLink Revolve,7,"$1,253.00 "
1/15/2024,1023,Dell Inspiron,2,"$1,799.98 "
1/15/2024,1034,Sony PlayStation 5,3,"$1,499.97 "
1/15/2024,1034,Sony PlayStation 5,3,"$1,499.97 "
1/15/2024,1025,HP OfficeJet Pro 9015,5,"$1,149.95 "
1/16/2024,1036,Nintendo Switch,2,$599.98 
1/16/2024,1012,Apple AirPods Pro,4,$996.00 
1/16/2024,1023,Dell Inspiron,3,"$2,699.97 "
