ProductID,ProductName,Category,Price
PID1,Samsung Galaxy S21,Smartphone,$934.98 
PID2,iPhone 12 Pro Max,Smartphone,$372.13 
PID3,Samsung Galaxy S21 Ultra,Smartphone,"$1,856.98 "
PID4,Google Pixel 5,Smartphone,"$1,798.79 "
PID5,OnePlus 9 Pro,Smartphone,"$1,612.94 "
PID6,Xiaomi Mi 11,Smartphone,$914.18 
PID7,Apple MacBook Pro,Laptop,$182.82 
PID8,Dell XPS 13,Laptop,"$1,918.93 "
PID9,HP Spectre x360,Laptop,"$2,594.44 "
PID10,Lenovo ThinkPad X1 Carbon,Laptop,"$2,500.62 "
PID11,Asus ROG Zephyrus G14,Laptop,$932.95 
PID12,Samsung QLED Q90T,Television,"$5,078.11 "
PID13,LG OLED CX,Television,"$2,645.55 "
PID14,Sony Bravia A8H,Television,"$2,076.09 "
PID15,TCL 6-Series,Television,"$5,344.37 "
PID16,Vizio P-Series Quantum X,Television,"$1,990.03 "
PID17,Samsung Front Load Washer,Washer,"$5,000.72 "
PID18,LG TurboWash Top Load Washer,Washer,"$4,428.38 "
PID19,Whirlpool Cabrio High-Efficiency Washer,Washer,"$3,452.94 "
PID20,Bosch 800 Series Front Load Washer,Washer,"$3,800.33 "
PID21,Maytag Bravos XL Top Load Washer,Washer,"$10,000.83 "
PID22,iPhone 13,Smartphone,"$2,961.22 "
PID23,iPhone 13 Pro Max,Smartphone,"$3,050.48 "
PID24,iPhone 14 Pro Max,Smartphone,"$4,200.34 "
PID25,iPhone 15 Pro Max,Smartphone,"$5,200.70 "
PID26,iPhone 14,Smartphone,"$3,032.78 "
PID27,iPhone 15,Smartphone,"$4,000.71 "
PID28,Canon EOS 5D Mark IV,Cameras,"$5,000.41 "
PID29,Nikon D850,Cameras,"$1,966.43 "
PID30,Sony Alpha a7 III,Cameras,$784.09 
PID31,Fujifilm X-T4,Cameras,"$2,870.60 "
PID32,Panasonic Lumix GH5,Cameras,$618.00 
PID33,Lenovo Tab M10 Plus,Tablets,"$1,982.55 "
PID34,Google Pixel Slate,Tablets,$780.48 
PID35,Asus ZenPad 3S 10,Tablets,"$2,517.46 "
PID36,Sony Xperia Tablet Z4,Tablets,$757.11 
PID37,Microsoft Surface Go 2,Tablets,$614.20 
PID38,Samsung Galaxy Tab A7,Tablets,"$2,672.87 "
PID39,Huawei MediaPad M5 Lite,Tablets,$448.66 
PID40,Amazon Fire HD 8,Tablets,"$2,295.45 "
PID41,Apple iPad Air,Tablets,"$1,181.18 "
PID42,Lenovo Yoga Smart Tab,Tablets,"$2,048.26 "
PID43,Samsung Galaxy Tab S6 Lite,Tablets,$145.75 
PID44,Xiaomi Mi Pad 5,Tablets,$313.57 
PID45,Dell Venue 8 Pro,Tablets,"$1,321.20 "
PID46,HP Elite x2 1013 G3,Tablets,"$2,980.04 "
PID47,Acer Iconia One 10,Tablets,"$1,596.02 "
PID48,Chuwi Hi9 Pro,Tablets,"$1,403.02 "
PID49,Asus Transformer Pad TF103C,Tablets,"$2,474.63 "
PID50,Alcatel 3T 8,Tablets,$586.34 
PID51,RCA Voyager 7,Tablets,"$2,763.73 "
PID52,Teclast P10HD,Tablets,$643.29 
PID53,HP LaserJet Pro MFP M281fdw,Tablets,"$1,833.08 "
PID54,Canon PIXMA MX922,Printer,"$1,368.16 "
PID55,Epson EcoTank ET-4760,Printer,"$2,822.80 "
PID56,Brother HL-L2380DW,Printer,"$2,141.73 "
PID57,Dell E310dw,Printer,"$1,983.40 "
PID58,Samsung Xpress M2020W,Printer,$446.47 
PID59,Lexmark MB2236adw,Printer,$49.48 
PID60,Xerox WorkCentre 3345/DNI,Printer,$429.75 
PID61,Ricoh SP C261SFNw,Printer,$444.96 
PID62,Kyocera Ecosys P5021cdw,Printer,$389.60 
PID63,HP OfficeJet Pro 9025,Printer,$765.18 
PID64,Canon imageCLASS MF264dw,Printer,$550.62 
PID65,Epson WorkForce Pro WF-4830,Printer,"$2,830.61 "
PID66,Brother MFC-L2750DW,Printer,"$1,933.58 "
PID67,Dell Color Cloud Multifunction Printer H625cdw,Printer,$943.83 
PID68,Samsung ProXpress M4583FX,Printer,$367.58 
PID69,Lexmark MC3224dwe,Printer,$479.19 
PID70,Xerox VersaLink C405/DN,Printer,$638.89 
PID71,Ricoh Aficio SP 3710SF,Printer,"$1,465.59 "
PID72,Kyocera TASKalfa 3253ci,Printer,"$2,566.73 "
PID73,Daikin Inverter Split Air Conditioner,Air Conditioner,$769.41 
PID74,Mitsubishi Electric Ductless Mini-Split Air Conditioner,Air Conditioner,"$2,471.05 "
PID75,LG Dual Inverter Window Air Conditioner,Air Conditioner,$673.15 
PID76,Panasonic 1.5 Ton 5-Star Split Air Conditioner,Air Conditioner,"$1,143.56 "
PID77,Samsung Wind-Free Air Conditioner,Air Conditioner,"$2,029.05 "
PID78,Carrier Infinity Series Air Conditioner,Air Conditioner,$776.04 
PID79,Fujitsu General Wall-Mounted Air Conditioner,Air Conditioner,$128.06 
PID80,Hitachi Split Air Conditioner,Air Conditioner,$320.44 
PID81,Toshiba Portable Air Conditioner,Air Conditioner,"$2,191.56 "
PID82,Haier Window Air Conditioner,Air Conditioner,"$1,965.48 "
PID83,Voltas Inverter Split Air Conditioner,Air Conditioner,$780.35 
PID84,Whirlpool 3D Cool Split Air Conditioner,Air Conditioner,"$1,045.67 "
PID85,Blue Star Inverter Split Air Conditioner,Air Conditioner,$329.67 
PID86,Godrej Window Air Conditioner,Air Conditioner,"$2,105.59 "
PID87,O General Split Air Conditioner,Air Conditioner,$371.00 
PID88,Rheem Classic Plus Series Air Conditioner,Air Conditioner,"$2,165.28 "
PID89,Trane XV20i Variable Speed Air Conditioner,Air Conditioner,"$2,117.61 "
PID90,York Affinity Series Air Conditioner,Air Conditioner,$840.63 
PID91,Sharp Inverter Window Air Conditioner,Air Conditioner,$504.52 
PID92,Kenmore Elite Smart Air Conditioner,Air Conditioner,"$2,732.14 "
PID93,Gree Inverter Split Air Conditioner,Air Conditioner,"$1,102.11 "
PID94,Midea U-Shaped Window Air Conditioner,Air Conditioner,"$2,552.49 "
PID95,Hisense Portable Air Conditioner,Air Conditioner,"$2,930.55 "
PID96,PIONEER Diamante Series Mini Split Air Conditioner,Air Conditioner,"$2,536.79 "
PID97,Senville SENL Inverter Split Air Conditioner,Air Conditioner,"$2,568.27 "
PID98,TCL Window Air Conditioner,Air Conditioner,"$1,957.66 "
PID99,Onida Split Air Conditioner,Air Conditioner,"$2,417.12 "
PID100,Carrier Performance Series Air Conditioner,Air Conditioner,"$2,450.66 "
PID101,Daewoo Portable Air Conditioner,Air Conditioner,$139.95 
PID102,Electrolux Inverter Split Air Conditioner,Air Conditioner,"$1,987.37 "
PID103,Bose SoundLink Revolve,Speaker,"$1,321.99 "
PID104,JBL Flip 5,Speaker,$609.43 
PID105,Sonos One,Speaker,$54.50 
PID106,Harman Kardon Aura Studio 3,Speaker,"$2,638.22 "
PID107,Marshall Kilburn II,Speaker,"$2,851.48 "
PID108,Sony SRS-XB43,Speaker,"$2,662.54 "
PID109,Ultimate Ears Megaboom 3,Speaker,$656.56 
PID110,Bang & Olufsen Beoplay A9,Speaker,"$2,118.06 "
PID111,Klipsch RP-600M,Speaker,"$2,241.99 "
PID112,Yamaha NS-6490,Speaker,$135.72 
PID113,Bowers & Wilkins Formation Duo,Speaker,"$1,629.75 "
PID114,KEF LS50 Wireless II,Speaker,"$2,440.60 "
PID115,Denon Home 350,Speaker,"$1,588.82 "
PID116,Sennheiser Ambeo Soundbar,Speaker,"$1,778.87 "
PID117,Apple HomePod,Speaker,"$1,316.58 "
PID118,Bang & Olufsen Beosound Edge,Speaker,"$2,924.67 "
PID119,Audio Pro Addon C10,Speaker,"$1,306.56 "
PID120,Polk Audio T50,Speaker,"$2,639.06 "
PID121,Marshall Acton II Bluetooth,Speaker,$898.16 
PID122,Anker Soundcore Motion+,Speaker,"$2,647.70 "
PID123,Focal Chora 826,Speaker,$779.77 
PID124,Edifier R1280T,Speaker,$529.31 
PID125,Klipsch The Fives,Speaker,"$1,274.73 "
PID126,Sonos Arc,Speaker,"$2,973.45 "
PID127,JBL Charge 4,Speaker,"$1,855.61 "
PID128,Sony SRS-XB33,Speaker,$458.17 
PID129,Bose SoundTouch 30,Speaker,"$2,376.71 "
PID130,Ultimate Ears Wonderboom 2,Speaker,"$1,560.65 "
PID131,Harman Kardon Onyx Studio 6,Speaker,$107.37 
PID132,Devialet Phantom Reactor 900,Speaker,"$1,733.60 "
PID133,Apple iMac,Desktop Computers,$379.92 
PID134,Dell XPS Tower,Desktop Computers,"$1,406.88 "
PID135,HP Pavilion Desktop,Desktop Computers,$485.80 
PID136,Lenovo ThinkCentre M Series,Desktop Computers,"$1,840.57 "
PID137,Microsoft Surface Studio,Desktop Computers,"$2,408.17 "
PID138,Acer Aspire TC Series,Desktop Computers,"$1,679.53 "
PID139,Asus ROG Strix GL12,Desktop Computers,$499.18 
PID140,Alienware Aurora R10,Desktop Computers,"$1,845.40 "
PID141,MSI Trident 3,Desktop Computers,"$2,654.13 "
PID142,Intel NUC (Next Unit of Computing),Desktop Computers,"$2,949.55 "
PID143,HP EliteDesk,Desktop Computers,$68.59 
PID144,Dell OptiPlex,Desktop Computers,"$2,120.39 "
PID145,Lenovo IdeaCentre,Desktop Computers,"$2,810.94 "
PID146,Apple Mac Mini,Desktop Computers,$556.95 
PID147,HP Envy Desktop,Desktop Computers,"$2,042.41 "
PID148,Asus VivoPC Series,Desktop Computers,"$1,629.28 "
PID149,CyberPowerPC Gamer Xtreme VR,Desktop Computers,"$1,548.22 "
PID150,Acer Predator Orion,Desktop Computers,"$1,310.84 "
PID151,Lenovo Legion Tower,Desktop Computers,"$1,325.20 "
PID152,Dell Precision Workstation,Desktop Computers,"$1,373.25 "
PID153,Microsoft Surface Studio 2,Desktop Computers,"$2,627.58 "
PID154,HP ProDesk,Desktop Computers,"$1,313.34 "
PID155,Asus ROG G20,Desktop Computers,"$2,537.40 "
PID156,Zotac Magnus Mini PC,Desktop Computers,"$1,283.66 "
PID157,Intel Skull Canyon NUC,Desktop Computers,"$2,683.58 "
PID158,HP Slimline,Desktop Computers,"$1,086.19 "
PID159,Dell Inspiron Desktop,Desktop Computers,"$2,753.72 "
PID160,Lenovo Yoga AIO,Desktop Computers,"$1,418.68 "
PID161,Apple Mac Pro,Desktop Computers,"$2,976.53 "
PID162,Asus ProArt PA90,Desktop Computers,"$2,934.42 "
PID163,Sony Handycam FDR-AX53,Camcorders,$999.65 
PID164,Canon VIXIA HF G50,Camcorders,"$1,995.70 "
PID165,Panasonic HC-VX1K,Camcorders,$455.80 
PID166,JVC Everio GZ-RY980,Camcorders,"$2,707.12 "
PID167,GoPro HERO9 Black,Camcorders,"$1,244.66 "
PID168,DJI Osmo Pocket,Camcorders,"$2,107.79 "
PID169,Sony FDR-AX700,Camcorders,$180.53 
PID170,Canon XA40,Camcorders,"$1,172.24 "
PID171,Panasonic HC-WXF1K,Camcorders,"$1,318.79 "
PID172,Blackmagic Design Pocket Cinema Camera 6K,Camcorders,$632.87 
PID173,GoPro HERO8 Black,Camcorders,$613.72 
PID174,Sony PXW-Z190,Camcorders,"$2,715.53 "
PID175,Canon XF705,Camcorders,"$1,731.79 "
PID176,Panasonic HC-X1000,Camcorders,"$1,170.19 "
PID177,JVC GY-HM250,Camcorders,"$1,296.97 "
PID178,DJI Osmo Action,Camcorders,$46.79 
PID179,Sony HDR-CX405,Camcorders,$419.03 
PID180,Canon VIXIA HF G21,Camcorders,"$1,284.26 "
PID181,Panasonic HC-V770K,Camcorders,"$1,012.12 "
PID182,GoPro HERO7 Black,Camcorders,$294.65 
PID183,Sony FDR-AX100,Camcorders,"$2,138.65 "
PID184,Canon XA11,Camcorders,$424.60 
PID185,Panasonic HC-V180K,Camcorders,$21.83 
PID186,JVC GY-HM170,Camcorders,$669.16 
PID187,DJI Osmo Mobile 3,Camcorders,"$1,355.90 "
PID188,Sony HXR-NX80,Camcorders,$115.67 
PID189,Canon XF405,Camcorders,$912.22 
PID190,Panasonic HC-WXF991K,Camcorders,"$2,249.37 "
PID191,GoPro HERO6 Black,Camcorders,"$1,873.48 "
PID192,Sony FDR-AX33,Camcorders,$647.32 
PID193,Sony WH-1000XM4,Headphones,"$1,357.99 "
PID194,Bose QuietComfort 35 II,Headphones,"$2,303.48 "
PID195,Apple AirPods Pro,Headphones,"$2,682.67 "
PID196,Sennheiser HD 660 S,Headphones,"$1,949.49 "
PID197,Beyerdynamic DT 990 Pro,Headphones,"$2,103.39 "
PID198,Audio-Technica ATH-M50x,Headphones,"$2,091.23 "
PID199,JBL E55BT,Headphones,"$2,864.65 "
PID200,Beats Studio3 Wireless,Headphones,"$1,951.62 "
PID201,Shure SE215,Headphones,"$1,645.99 "
PID202,AKG K240 Studio,Headphones,"$1,143.99 "
PID203,Sony WF-1000XM4,Headphones,$454.36 
PID204,Bose SoundLink Around-Ear Wireless Headphones II,Headphones,$161.89 
PID205,Jabra Elite 85t,Headphones,"$1,635.80 "
PID206,Sennheiser Momentum 3 Wireless,Headphones,$867.94 
PID207,Beyerdynamic Amiron Wireless,Headphones,"$1,476.78 "
PID208,Audio-Technica ATH-MSR7,Headphones,"$1,558.30 "
PID209,JBL Free X,Headphones,"$2,446.96 "
PID210,Beats Powerbeats Pro,Headphones,"$2,004.42 "
PID211,Shure AONIC 50,Headphones,"$1,582.40 "
PID212,AKG N700NC,Headphones,"$1,398.59 "
PID213,Sony WH-1000XM3,Headphones,$109.63 
PID214,Bose QuietComfort Earbuds,Headphones,"$2,206.39 "
PID215,Apple AirPods Max,Headphones,$351.95 
PID216,Sennheiser HD 660 S,Headphones,"$1,365.60 "
PID217,Beyerdynamic DT 770 Pro,Headphones,"$2,926.51 "
PID218,Audio-Technica ATH-ANC700BT,Headphones,$388.80 
PID219,JBL Tune 500BT,Headphones,"$1,500.50 "
PID220,Beats Solo Pro,Headphones,$842.61 
PID221,Shure SE535,Headphones,$493.57 
PID222,AKG K371,Headphones,"$1,999.34 "
PID223,Sonos Move Portable Speaker,Audio Devices,"$2,130.58 "
PID224,Bose SoundLink Revolve+ Bluetooth Speaker,Audio Devices,"$1,561.86 "
PID225,JBL Charge 4 Portable Bluetooth Speaker,Audio Devices,"$1,805.32 "
PID226,Sony SRS-XB43 Extra Bass Wireless Speaker,Audio Devices,"$1,972.10 "
PID227,Harman Kardon Onyx Studio 6 Wireless Speaker,Audio Devices,"$1,768.52 "
PID228,Apple HomePod Mini Smart Speaker,Audio Devices,"$1,155.50 "
PID229,Marshall Kilburn II Portable Bluetooth Speaker,Audio Devices,"$2,151.17 "
PID230,Ultimate Ears Boom 3 Portable Waterproof Bluetooth Speaker,Audio Devices,"$1,123.15 "
PID231,Bang & Olufsen Beoplay A9 Wireless Speaker,Audio Devices,$294.88 
PID232,Klipsch The Fives Powered Bookshelf Speakers,Audio Devices,"$2,108.86 "
PID233,Yamaha YAS-209 Soundbar with Wireless Subwoofer,Audio Devices,"$2,015.75 "
PID234,Denon AVR-S750H 7.2-Channel Receiver,Audio Devices,"$2,018.03 "
PID235,Sennheiser HD 660 S Open-Back Headphones,Audio Devices,$364.68 
PID236,Audio-Technica ATH-M50x Professional Studio Headphones,Audio Devices,"$1,747.84 "
PID237,Beats Solo Pro Wireless Noise Cancelling On-Ear Headphones,Audio Devices,"$2,158.72 "
PID238,Shure SM58 Dynamic Vocal Microphone,Audio Devices,$425.50 
PID239,Rode NT1 Condenser Microphone,Audio Devices,"$1,441.94 "
PID240,Zoom H6 Handy Recorder,Audio Devices,"$1,088.62 "
PID241,Focusrite Scarlett 2i2 USB Audio Interface,Audio Devices,"$2,421.04 "
PID242,Pioneer DJ DDJ-1000 Professional DJ Controller,Audio Devices,$996.75 
PID243,Native Instruments Maschine MK3 Groove Production Studio,Audio Devices,$228.59 
PID244,Roland TD-17KVX V-Drums Electronic Drum Set,Audio Devices,"$1,549.32 "
PID245,Fender American Professional II Stratocaster Electric Guitar,Audio Devices,"$1,606.86 "
PID246,Gibson Les Paul Standard '50s Electric Guitar,Audio Devices,$243.89 
PID247,Taylor 314ce Grand Auditorium Acoustic-Electric Guitar,Audio Devices,"$2,280.28 "
PID248,Steinway Model D Concert Grand Piano,Audio Devices,"$2,856.88 "
PID249,Korg Kronos 88-Key Music Workstation,Audio Devices,$526.79 
PID250,Moog Subsequent 37 Analog Synthesizer,Audio Devices,$599.94 
PID251,Neumann U87 Ai Studio Condenser Microphone,Audio Devices,$585.12 
PID252,AKG C414 XLII Large-Diaphragm Condenser Microphone,Audio Devices,"$1,837.61 "
PID253,Amazon Echo (4th generation) - Smart Speaker with Alexa,Smart Home Devices,"$2,288.92 "
PID254,Google Nest Hub (2nd generation) - Smart Display with Google Assistant,Smart Home Devices,"$1,702.33 "
PID255,Philips Hue White and Color Ambiance Starter Kit - Smart Lighting System,Smart Home Devices,$925.30 
PID256,Ring Video Doorbell Pro - Smart Doorbell with Camera,Smart Home Devices,"$1,116.11 "
PID257,Ecobee SmartThermostat with Voice Control - Smart Thermostat,Smart Home Devices,"$2,968.33 "
PID258,August Wi-Fi Smart Lock - Smart Door Lock,Smart Home Devices,$175.11 
PID259,Arlo Pro 4 - Wireless Security Camera System,Smart Home Devices,$956.97 
PID260,Nest Learning Thermostat - Smart Thermostat,Smart Home Devices,$506.30 
PID261,Samsung SmartThings Hub - Smart Home Automation Hub,Smart Home Devices,$309.23 
PID262,Wyze Cam Pan - Smart Indoor Security Camera,Smart Home Devices,"$2,157.95 "
PID263,Lutron Caseta Wireless Smart Lighting Dimmer Switch Starter Kit,Smart Home Devices,"$2,989.00 "
PID264,Logitech Harmony Elite - Universal Remote Control,Smart Home Devices,"$2,650.51 "
PID265,SimpliSafe Home Security System - Smart Security System,Smart Home Devices,"$2,475.10 "
PID266,Eero Pro 6 - Mesh Wi-Fi System,Smart Home Devices,"$1,378.70 "
PID267,iRobot Roomba i7+ - Smart Robot Vacuum,Smart Home Devices,"$1,988.38 "
PID268,TP-Link Kasa Smart Plug - Smart Plug with Energy Monitoring,Smart Home Devices,"$2,956.68 "
PID269,Yale Assure Lock SL - Smart Lock with Touchscreen Keypad,Smart Home Devices,$396.35 
PID270,Wemo Mini Smart Plug - Smart Plug with Wi-Fi,Smart Home Devices,"$1,402.61 "
PID271,Rachio 3 Smart Sprinkler Controller - Smart Irrigation Controller,Smart Home Devices,"$2,512.28 "
PID272,Nanoleaf Canvas - Smart LED Light Panels,Smart Home Devices,"$2,620.27 "
PID273,Netgear Orbi RBK50 - Whole Home Mesh Wi-Fi System,Smart Home Devices,"$1,555.54 "
PID274,Chamberlain MyQ Smart Garage Door Opener - Smart Garage Door Controller,Smart Home Devices,$141.26 
